,Unnamed: 0,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
111,111,"Pro Kabaddi League Season 5, 2017",W,8,10/7/2017 8:00:00 ,Haryana Steelers beat Telugu Titans (32-30),10/7/2017 8:00:00 ,Completed,2.0,3,kabaddi,Sawai Mansingh Stadium,398,League,Match 113,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Haryana Steelers,32,True,Telugu Titans,30,False,Haryana Steelers,Wazir Singh,124.0,14.0,,Deepak Kumar Dahiya,174.0,5.0,,Surjeet Singh,119.0,4.0,,Prashanth Kumar Rai,155.0,2.0,,Surender Nada,146.0,1.0,Defender - Left Corner,Rahul Chaudhari,81.0,11.0,,Nilesh Salunke,293.0,10.0,,Vishal Bhardwaj,358.0,2.0,,Rohit Rana,96.0,2.0,,Sombir,361.0,1.0,,,False,False
112,112,"Pro Kabaddi League Season 5, 2017",W,8,10/7/2017 9:00:00 ,Jaipur Pink Panthers beat U Mumba (36-32),10/7/2017 9:00:00 ,Completed,4.0,3,kabaddi,Sawai Mansingh Stadium,399,League,Match 114,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Jaipur Pink Panthers,36,True,U Mumba,32,False,Jaipur Pink Panthers,Jasvir Singh,52.0,9.0,,Manjeet Chhillar,69.0,6.0,,Pawan Kumar Kadian,156.0,6.0,,Somvir Shekhar,109.0,4.0,Defender,Tushar Patil,242.0,2.0,,Kashiling Adake,58.0,7.0,,Anup Kumar,29.0,6.0,,Hadi Oshtorak,249.0,4.0,,Shrikant Jadhav,106.0,3.0,,Deepak Yadav,694.0,2.0,,,False,False
113,113,"Pro Kabaddi League Season 5, 2017",W,8,10/8/2017 8:00:00 ,Gujarat Fortunegiants beat Patna Pirates (33-29),10/8/2017 8:00:00 ,Completed,4.0,3,kabaddi,Sawai Mansingh Stadium,400,League,Match 115,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Gujarat Giants,33,True,Patna Pirates,29,False,Gujarat Giants,Mahendra Ganesh Rajput,163.0,6.0,,Fazel Atrachali,259.0,5.0,,Sachin,757.0,5.0,,Sunil Kumar,368.0,4.0,Defender,Abozar Mohajermighani,489.0,4.0,,Monu Goyat,388.0,6.0,,Vijay,745.0,6.0,,Pardeep Narwal,197.0,4.0,,Manish,728.0,3.0,,Jawahar Dagar,390.0,2.0,,,False,False
114,114,"Pro Kabaddi League Season 5, 2017",W,8,10/8/2017 9:00:00 ,Puneri Paltan beat Jaipur Pink Panthers (38-30),10/8/2017 9:00:00 ,Completed,8.0,3,kabaddi,Sawai Mansingh Stadium,401,League,Match 116,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Jaipur Pink Panthers,30,False,Puneri Paltan,38,True,Puneri Paltan,Nitin Rawal,791.0,7.0,,Rahul Choudhary,738.0,3.0,Raider,Pawan Kumar Kadian,156.0,3.0,,Somvir Shekhar,109.0,3.0,Defender,Jasvir Singh,52.0,2.0,,Rajesh Mondal,85.0,10.0,,Deepak Niwas Hooda,41.0,8.0,,Girish Maruti Ernak,161.0,5.0,,Ravi Kumar,240.0,4.0,,Sandeep Narwal,142.0,3.0,,,False,False
115,115,"Pro Kabaddi League Season 5, 2017",W,8,10/10/2017 8:00:00 ,Tamil Thalaivas beat U Mumba (38-35),10/10/2017 8:00:00 ,Completed,3.0,3,kabaddi,Sawai Mansingh Stadium,402,League,Match 117,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,U Mumba,35,False,Tamil Thalaivas,38,True,Tamil Thalaivas,Darshan Kadian,324.0,8.0,,Shrikant Jadhav,106.0,7.0,,Surinder Singh,733.0,6.0,,Mohan Raman G,689.0,5.0,Raider,Deepak Yadav,694.0,2.0,,Ajay Thakur,26.0,16.0,,K. Prapanjan,219.0,6.0,,Amit Hooda,212.0,3.0,,Darshan J.,724.0,3.0,,Vineet Sharma,268.0,2.0,,,False,False
116,116,"Pro Kabaddi League Season 5, 2017",W,8,10/10/2017 9:00:00 ,Dabang Delhi K.C. beat Jaipur Pink Panthers (35-34),10/10/2017 9:00:00 ,Completed,1.0,3,kabaddi,Sawai Mansingh Stadium,403,League,Match 118,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Jaipur Pink Panthers,34,False,Dabang Delhi,35,True,Dabang Delhi,Nitin Rawal,791.0,14.0,,Pawan Kumar Kadian,156.0,5.0,,Tushar Patil,242.0,4.0,,Manoj Dhull,233.0,2.0,,Somvir Shekhar,109.0,2.0,Defender,Meraj Sheykh,251.0,7.0,,R. Sriram,718.0,7.0,,Abolfazl Maghsodloumahali,300.0,4.0,,Yatharth Deshwal,736.0,2.0,All Rounder,Viraj Vishnu Landge,784.0,2.0,,,False,False
117,117,"Pro Kabaddi League Season 5, 2017",W,8,10/11/2017 8:00:00 ,Bengaluru Bulls beat Dabang Delhi K.C. (35-32),10/11/2017 8:00:00 ,Completed,3.0,3,kabaddi,Sawai Mansingh Stadium,404,League,Match 119,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Dabang Delhi,32,False,Bengaluru Bulls,35,True,Bengaluru Bulls,Rohit Baliyan,261.0,11.0,,R. Sriram,718.0,5.0,,Swapnil Dilip Shinde,170.0,3.0,Defender,Yatharth Deshwal,736.0,2.0,All Rounder,Meraj Sheykh,251.0,2.0,,Rohit Kumar,326.0,12.0,,Ajay Kumar,389.0,10.0,,Ravinder Pahal,157.0,5.0,,Mahender Singh,769.0,2.0,,Sunil Jaipal,141.0,1.0,Raider,,False,False
118,118,"Pro Kabaddi League Season 5, 2017",W,8,10/11/2017 9:00:00 ,Haryana Steelers beat Jaipur Pink Panthers (37-27),10/11/2017 9:00:00 ,Completed,10.0,3,kabaddi,Sawai Mansingh Stadium,405,League,Match 120,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Jaipur Pink Panthers,27,False,Haryana Steelers,37,True,Haryana Steelers,Tushar Patil,242.0,7.0,,Nitin Rawal,791.0,5.0,,Pawan Kumar Kadian,156.0,3.0,,Rahul Choudhary,738.0,3.0,Raider,Sidharth,611.0,2.0,All Rounder,Surender Nada,146.0,8.0,Defender - Left Corner,Deepak Kumar Dahiya,174.0,8.0,,Prashanth Kumar Rai,155.0,7.0,,Wazir Singh,124.0,6.0,,Jeeva Gopal,53.0,1.0,Defender,,False,False
119,119,"Pro Kabaddi League Season 5, 2017",W,8,10/12/2017 8:00:00 ,U.P. Yoddha beat Jaipur Pink Panthers (53-32),10/12/2017 8:00:00 ,Completed,21.0,3,kabaddi,Sawai Mansingh Stadium,406,League,Match 121,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Jaipur Pink Panthers,32,False,U.P. Yoddhas,53,True,U.P. Yoddhas,Tushar Patil,242.0,8.0,,Nitin Rawal,791.0,8.0,,Pawan Kumar Kadian,156.0,6.0,,Ajit Singh,648.0,3.0,,Sidharth,611.0,2.0,All Rounder,Rishank Devadiga,94.0,28.0,,Gurvinder Singh,751.0,3.0,All Rounder,Surender Singh,234.0,3.0,,Nitesh Kumar,725.0,3.0,,Pankaj,665.0,1.0,,,False,False
120,120,"Pro Kabaddi League Season 5, 2017",W,8,10/13/2017 8:00:00 ,Gujarat Fortunegiants beat Puneri Paltan (44-20),10/13/2017 8:00:00 ,Completed,24.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",407,League,Match 122,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,20,False,Gujarat Giants,44,True,Gujarat Giants,Suresh Kumar,771.0,6.0,Raider,Monu,795.0,3.0,,Rajesh Mondal,85.0,3.0,,Ziaur Rahman,536.0,2.0,,Akshay Jadhav,365.0,1.0,,Sukesh Hegde,111.0,15.0,,Sunil Kumar,368.0,7.0,Defender,Sachin,757.0,4.0,,Rohit Gulia,686.0,3.0,,Abozar Mohajermighani,489.0,2.0,,,False,False
121,121,"Pro Kabaddi League Season 5, 2017",W,8,10/13/2017 9:00:00 ,Bengal Warriors beat Tamil Thalaivas (34-30),10/13/2017 9:00:00 ,Completed,4.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",408,League,Match 123,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Bengal Warriors,34,True,Tamil Thalaivas,30,False,Bengal Warriors,Maninder Singh,143.0,12.0,,Surjeet Singh,322.0,6.0,,Bhupender Singh,34.0,4.0,,Shrikant Tewthia,107.0,3.0,,Deepak Narwal,211.0,3.0,,Ajay Thakur,26.0,14.0,,K. Prapanjan,219.0,10.0,,Amit Hooda,212.0,3.0,,Darshan J.,724.0,2.0,,Vineet Sharma,268.0,1.0,,,False,False
122,122,"Pro Kabaddi League Season 5, 2017",W,8,10/14/2017 8:00:00 ,Tamil Thalaivas beat Patna Pirates (40-37),10/14/2017 8:00:00 ,Completed,3.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",409,League,Match 124,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Tamil Thalaivas,40,True,Patna Pirates,37,False,Tamil Thalaivas,Ajay Thakur,26.0,14.0,,K. Prapanjan,219.0,11.0,,Amit Hooda,212.0,4.0,,Darshan J.,724.0,3.0,,Vineet Sharma,268.0,2.0,,Pardeep Narwal,197.0,20.0,,Monu Goyat,388.0,7.0,,Jawahar Dagar,390.0,4.0,,Jaideep,579.0,1.0,,Manish,728.0,1.0,,,False,False
123,123,"Pro Kabaddi League Season 5, 2017",W,8,10/14/2017 9:00:00 ,Puneri Paltan beat U Mumba (43-24),10/14/2017 9:00:00 ,Completed,19.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",410,League,Match 125,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,43,True,U Mumba,24,False,Puneri Paltan,Deepak Niwas Hooda,41.0,16.0,,Girish Maruti Ernak,161.0,8.0,,Rajesh Mondal,85.0,6.0,,Monu,795.0,2.0,,Dharmaraj Cheralathan,42.0,2.0,,Shrikant Jadhav,106.0,6.0,,Deepak Yadav,694.0,4.0,,Anup Kumar,29.0,4.0,,Nitin Madane,75.0,3.0,Raider,Joginder Singh Narwal,194.0,2.0,,,False,False
124,124,"Pro Kabaddi League Season 5, 2017",W,8,10/15/2017 8:00:00 ,Bengaluru Bulls beat U.P. Yoddha (38-32),10/15/2017 8:00:00 ,Completed,6.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",411,League,Match 126,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Bengaluru Bulls,38,True,U.P. Yoddhas,32,False,Bengaluru Bulls,Rohit Kumar,326.0,13.0,,Mahender Singh,769.0,10.0,,Ajay Kumar,389.0,4.0,,Ravinder Pahal,157.0,2.0,,Kuldeep Singh,61.0,2.0,Defender,Surender Singh,234.0,10.0,,Rishank Devadiga,94.0,5.0,,Rajesh Narwal,86.0,4.0,,Nitesh Kumar,725.0,4.0,,Mahesh Goud,66.0,3.0,,,False,False
125,125,"Pro Kabaddi League Season 5, 2017",W,8,10/15/2017 9:00:00 ,Puneri Paltan beat Dabang Delhi K.C. (34-31),10/15/2017 9:00:00 ,Completed,3.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",412,League,Match 127,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,34,True,Dabang Delhi,31,False,Puneri Paltan,Deepak Niwas Hooda,41.0,10.0,,Rajesh Mondal,85.0,7.0,,Suresh Kumar,771.0,4.0,Raider,Dharmaraj Cheralathan,42.0,3.0,,Ravi Kumar,240.0,2.0,,Abolfazl Maghsodloumahali,300.0,9.0,,Rohit Baliyan,261.0,7.0,,Yatharth Deshwal,736.0,4.0,All Rounder,R. Sriram,718.0,3.0,,Viraj Vishnu Landge,784.0,2.0,,,False,False
126,126,"Pro Kabaddi League Season 5, 2017",W,8,10/17/2017 8:00:00 ,Bengaluru Bulls beat U.P. Yoddha (64-24),10/17/2017 8:00:00 ,Completed,40.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",336,League,Match 51,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Bengaluru Bulls,64,True,U.P. Yoddhas,24,False,Bengaluru Bulls,Rohit Kumar,326.0,32.0,,Ravinder Pahal,157.0,7.0,,Gurvinder Singh,46.0,5.0,,Preetam Chhillar,167.0,4.0,All Rounder,Mahender Singh,769.0,3.0,,Surender Singh,234.0,11.0,,Mahesh Goud,66.0,6.0,,Sanoj Kumar,640.0,2.0,Defender,Santhosh B.S,101.0,2.0,Defender,Hadi Tajik,301.0,1.0,,,False,False
127,127,"Pro Kabaddi League Season 5, 2017",W,8,10/17/2017 9:00:00 ,Haryana Steelers beat Puneri Paltan (31-27),10/17/2017 9:00:00 ,Completed,4.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",413,League,Match 128,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,27,False,Haryana Steelers,31,True,Haryana Steelers,Deepak Niwas Hooda,41.0,8.0,,Girish Maruti Ernak,161.0,5.0,,Akshay Jadhav,365.0,4.0,,Rinku Narwal,796.0,4.0,,Monu,795.0,2.0,,Prashanth Kumar Rai,155.0,12.0,,Surender Nada,146.0,4.0,Defender - Left Corner,Vikas,734.0,3.0,Defender,Babu M,726.0,2.0,Defender - Left Cover,Ashish Chhokar,195.0,2.0,,,False,False
128,128,"Pro Kabaddi League Season 5, 2017",T,8,10/18/2017 8:00:00 ,Match Tied,10/18/2017 8:00:00 ,Completed,0.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",414,League,Match 129,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Patna Pirates,29,False,Bengaluru Bulls,29,False,Tie,Monu Goyat,388.0,11.0,,Pardeep Narwal,197.0,7.0,,Jawahar Dagar,390.0,3.0,,Jaideep,579.0,2.0,,Vijay,745.0,2.0,,Rohit Kumar,326.0,9.0,,Ajay Kumar,389.0,6.0,,Sunil Jaipal,141.0,4.0,Raider,Kuldeep Singh,61.0,3.0,Defender,Mahender Singh,769.0,3.0,,,False,False
129,129,"Pro Kabaddi League Season 5, 2017",W,8,10/18/2017 9:00:00 ,Puneri Paltan beat Jaipur Pink Panthers (38-15),10/18/2017 9:00:00 ,Completed,23.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",415,League,Match 130,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,38,True,Jaipur Pink Panthers,15,False,Puneri Paltan,Deepak Niwas Hooda,41.0,14.0,,Akshay Jadhav,365.0,5.0,,Ziaur Rahman,536.0,4.0,,Rinku Narwal,796.0,4.0,,Rajesh Mondal,85.0,3.0,,Manjeet Chhillar,69.0,3.0,,Pawan Kumar Kadian,156.0,3.0,,Sidharth,611.0,3.0,All Rounder,Tushar Patil,242.0,2.0,,Nitin Rawal,791.0,2.0,,,False,False
130,130,"Pro Kabaddi League Season 5, 2017",T,8,10/20/2017 8:00:00 ,Match Tied,10/20/2017 8:00:00 ,Completed,0.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",416,League,Match 131,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Telugu Titans,37,False,Bengal Warriors,37,False,Tie,Nilesh Salunke,293.0,7.0,,Elangeshwaran R,667.0,6.0,All Rounder,Rahul Chaudhari,81.0,5.0,,Vishal Bhardwaj,358.0,4.0,,Mohsen Maghsoudloujafari,567.0,3.0,,Jang Kun Lee,12.0,8.0,,Deepak Narwal,211.0,5.0,,Surjeet Singh,322.0,5.0,,Ran Singh,160.0,4.0,,Ravindra Ramesh Kumawat,370.0,2.0,,,False,False
131,131,"Pro Kabaddi League Season 5, 2017",W,8,10/20/2017 9:00:00 ,Gujarat Fortunegiants beat Puneri Paltan (23-22),10/20/2017 9:00:00 ,Completed,1.0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",417,League,Match 132,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,22,False,Gujarat Giants,23,True,Gujarat Giants,Rinku Narwal,796.0,7.0,,Deepak Niwas Hooda,41.0,3.0,,Rajesh Mondal,85.0,2.0,,Akshay Jadhav,365.0,2.0,,Suresh Kumar,771.0,2.0,Raider,Sachin,757.0,7.0,,Sunil Kumar,368.0,7.0,Defender,Mahendra Ganesh Rajput,163.0,4.0,,Sukesh Hegde,111.0,2.0,,Parvesh Bhainswal,357.0,2.0,,,False,False
132,132,"Pro Kabaddi League Season 5, 2017",W,8,10/23/2017 8:00:00 ,Puneri Paltan beat U.P. Yoddha (40-38),10/23/2017 8:00:00 ,Completed,2.0,5,kabaddi,"‘Dome, NSCI SVP Stadium’",418,Playoffs,Eliminator 1,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,40,True,U.P. Yoddhas,38,False,Puneri Paltan,Deepak Niwas Hooda,41.0,10.0,,Girish Maruti Ernak,161.0,7.0,,Akshay Jadhav,365.0,6.0,,Rajesh Mondal,85.0,5.0,,Sandeep Narwal,142.0,3.0,,Rishank Devadiga,94.0,15.0,,Nitin Tomar,320.0,9.0,,Sagar B. Krishna,347.0,2.0,,Jeeva Kumar,54.0,2.0,,Surender Singh,234.0,1.0,,,False,False
